experiment,DryRun,Electric Bike,TNC Availability,HRT Reliability,Post-Pandemic WFH,AV Operations,BRMPO_VA_ZV_Shr,BRMPO_VA_IV_Shr,BRMPO_VA_SV_Shr,BRMPO_Auto_Shr,BRMPO_NM_Shr,BRMPO_TRN_Shr,BRMPO_SB_Shr,BRMPO_hbw,BRMPO_hbnw,BRMPO_nhbw,BRMPO_nhbnw,BRMPO_HH_Trips,BRMPO_Auto_Trips,BRMPO_DA_Trips,BRMPO_SR_Trips,BRMPO_MTRK_Trips,BRMPO_HTRK_Trips,BRMPO_Freeway_VMT,BRMPO_Expressway_VMT,BRMPO_Mj_Arterial_VMT,BRMPO_Total_VMT,BRMPO_Auto_VMT,BRMPO_DA_VMT,BRMPO_SR_VMT,BRMPO_MTRK_VMT,BRMPO_HTRK_VMT,BRMPO_Freeway_CVMT,BRMPO_Expressway_CVMT,BRMPO_Mj_Arterial_CVMT,BRMPO_Mn_Arterial_CVMT,BRMPO_Total_CVMT,BRMPO_CO2,BRMPO_CO,BRMPO_SO,BRMPO_NO,BRMPO_VOC,inc_hlth_hwy,eth_hlth_hwy,linc_hlth_hwy,mnr_hlth_hwy,n_linc_hlth_hwy,n_mnr_hlth_hwy,inc_park_hwy,eth_park_hwy,linc_park_hwy,mnr_park_hwy,n_linc_park_hwy,n_mnr_park_hwy,linc_jobs_hwy,mnr_jobs_hwy,n_linc_jobs_hwy,n_mnr_jobs_hwy,inc_jobs_hwy,eth_jobs_hwy,inc_avg_time_hwy,eth_avg_time_hwy,linc_avg_time_hwy,mnr_avg_time_hwy,n_linc_avg_time_hwy,n_mnr_avg_time_hwy,lbus,xbus,brt,lrt,hr,cr,bt,shtl,rta,regb,total_transit,inc_avg_time_trn,eth_avg_time_trn,linc_avg_time_trn,mnr_avg_time_trn,n_linc_avg_time_trn,n_mnr_avg_time_trn,inc_hlth_trn,eth_hlth_trn,linc_hlth_trn,mnr_hlth_trn,n_linc_hlth_trn,n_mnr_hlth_trn,inc_park_trn,eth_park_trn,linc_park_trn,mnr_park_trn,n_linc_park_trn,n_mnr_park_trn,inc_jobs_trn,eth_jobs_trn,linc_jobs_trn,mnr_jobs_trn,n_linc_jobs_trn,n_mnr_jobs_trn
1,base,12.0,1.0,1.0,0.0,1.0000001,0.0794549400203138,0.215246395405507,0.7052984936869157,0.7516023399713714,0.1701342006906332,0.0613465749437084,0.0169168834253634,2619781.8600000096,5891832.960000001,707619.1999999955,3085606.419999997,12304840.440000003,9057959.4152,7789703.22833,1268256.33361,153216.8983074,39031.11115,26821859.56358,4324468.883318,13565216.582350591,71302265.10122877,68247838.5417328,60579086.54331474,7668751.893410487,1986785.1112156184,1067641.4482803503,17315368.1238,2874442.5642,4513733.745123,2822014.39651,29904906.726223,27449482.29637972,169125.8152481076,328.2626628361513,9976.55523929103,3911.060966762043,0.0,0.0,48.89374067865691,47.3767346285353,37.8145734189252,36.16413269604692,0.0,0.0,6915.185685435848,7214.133951159612,6891.21613394384,6730.733936738345,1191051.348922426,1229084.93187347,1073920.592301525,1028399.0363114584,0.0,0.0,0.0,0.0,19.39807613765342,19.51797619270081,20.318972116730357,20.459371307143595,378281.61227604566,31272.05543966976,35519.6912784301,196508.1526067651,540694.69810891,127437.67846200484,3973.625047245,6342.116375370921,63438.53016790704,18250.28443122868,1401718.4441935772,0.0,0.0,55.754106836177975,55.12657740383567,57.3263310763889,57.99810841543934,0.0,0.0,5.564471408496652,5.015347262792307,3.093718313351117,2.835107655568548,0.0,0.0,512.4436354907306,487.06969669037335,340.952554826414,316.3885108493093,0.0,0.0,242711.2497637404,231748.0985790623,156086.13329552938,142715.5856650539
2,EB,15.0,1.0,1.0,0.0,1.0000001,0.0794549400203138,0.215246395405507,0.7052984936869157,0.7488625886910174,0.1733805004319435,0.0608708249928914,0.0168859973538544,2619781.8600000096,5891832.960000001,707619.1999999955,3085606.419999997,12304840.440000003,9025181.5708,7761640.03828,1263541.40633,153216.8983074,39031.11115,26804326.51112,4318640.920913,13529404.923707496,71169741.09704982,68115460.84098482,60463115.41661909,7652345.327344052,1986675.1812617248,1067605.0748032683,17285617.77183,2878854.1062,4468045.045214,2804077.080439,29805236.979423,27390086.04404862,168762.7027804732,327.5430316347855,9961.246166085924,3902.036788956659,0.0925117878085828,0.10931144266344,49.27100885761408,47.75166067060939,38.09932981007378,36.42974729545757,3.4936356717435046,5.577356695934213,6941.242712585701,7241.056528487348,6913.779525421949,6752.079157370147,1198086.976759916,1236780.3743213206,1080592.6568544402,1034648.5349137296,363.5632845745422,1445.9438455792842,-0.0134712734069459,-0.0210298400628481,19.344100454638657,19.460976420710058,20.27846770712254,20.42340137521569,375641.93619843456,31121.89367543443,35319.0237798801,195167.50684517948,535725.3952470201,126851.40395379816,3938.689485603,6313.63944582808,63160.43458553902,18346.89944185161,1391586.8226585682,0.0026151670546568,0.0032473716477099,55.71417160731959,55.086679511761616,57.28378068047586,57.95496315171758,0.0030129654762856,0.0028985758268564,5.570801669458408,5.021165792656861,3.097035608836588,2.8380276096062453,0.1331737637128753,0.1669642688707995,512.8464523137392,487.47546564280384,341.2221978857097,316.627315532869,151.36343319373557,185.3925539494376,243103.44875193667,232140.7719555873,156326.9688505319,142922.86648762945
3,TNC,12.0,0.5,1.0,0.0,1.0000001,0.0794549400203138,0.215246395405507,0.7052984936869157,0.7532234001588439,0.1692636312009854,0.0606052816958602,0.0169076620605117,2619781.8600000096,5891832.960000001,707619.1999999955,3085606.419999997,12304840.440000003,9120608.697,7803182.33718,1317426.72742,153216.8983074,39031.11115,26836762.99439,4329219.784715,13622238.421592794,71470783.60965757,68415721.57767774,60394835.40412464,8020886.083086894,1987112.9482137845,1067949.0837660355,17341771.1335,2892026.9749,4550045.113108,2848086.18323,30029301.774538,27533551.06125523,169633.0889449411,329.2727375432819,9996.721211447048,3923.927822910785,-0.1622190704255288,-0.1514138441522377,48.26808999362487,46.78169424441859,37.35114180431869,35.72050615608244,-9.316822797233726,-13.009005275715936,6862.995665365847,7160.863110729308,6848.3429366710725,6690.472101583757,1179542.291143529,1216416.4964272787,1062821.9522922663,1017992.6353315372,-410.4177696385887,-2262.0344662701245,0.0185162948110537,0.0216431944789157,19.501793041881044,19.621069257756293,20.40417272614693,20.54082117772016,372515.1665499583,30605.59863426625,34495.958485692776,194325.8767904841,534147.41873769,126931.97408294475,3971.866782849,6064.63728906858,62598.6859167836,17927.46418416453,1383584.6474539018,0.0078978500308437,0.0391114425076182,55.69638816749308,55.08826107671064,57.26071455767316,57.92068064580669,-0.007841155359574,-0.0053390327744442,5.548939891924813,5.002598576503873,3.0860279521388523,2.827698002054558,-0.4627354231482172,-0.5025478908645482,511.24788491232414,485.9147676869412,340.21953967115576,315.7361297367417,-246.99601201174664,-258.18631391081726,242151.2547048594,231216.5153641897,155773.13424866012,142442.1887640921
4,TNC,12.0,1.5,1.0,0.0,1.0000001,0.0794549400203138,0.215246395405507,0.7052984936869157,0.7504147432485436,0.1707583201048323,0.0619044596669969,0.0169223953050526,2619781.8600000096,5891832.960000001,707619.1999999955,3085606.419999997,12304840.440000003,9013927.93,7779427.93084,1234500.3889499998,153216.8983074,39031.11115,26827215.75139,4321394.564083,13528818.835844094,71217565.84808427,68163844.75433664,60687334.1397076,7476510.500066099,1986306.5241565343,1067414.569591095,17352914.87057,2880604.9607,4474146.229099,2806390.82464,29884301.815759003,27406184.41728682,168866.8186006806,327.7428536113579,9966.304484253158,3904.553458854095,0.1172935242052801,0.105982070885858,49.31762114814109,47.77617912793141,38.1211603642041,36.457595124557166,5.354772699106434,8.229017355337419,6940.614974557779,7240.679563574224,6911.290650366664,6749.050531797619,1197727.6934679018,1236533.7200169626,1080407.7995841992,1034443.5865819552,189.1372628014069,1404.2378729957854,-0.0150208727091616,-0.021216892020476,19.33914823205256,19.45714555805978,20.27506508383866,20.41975756452304,382479.1114534186,31751.36038952906,36503.32027924683,198709.7905557455,545540.38968949,127809.47801573185,3969.071232495,6615.03433465797,64059.50367054618,18502.74207283953,1415939.8016937005,-0.0053500729104314,-0.0264040470172304,55.789198426663,55.14858517539549,57.36677273978435,58.04652023401639,0.0044123251575118,0.0033620538643206,5.573647073282084,5.023192451937665,3.098481652979037,2.839590790849585,0.280213976239736,0.3085012978182249,513.1506652806472,487.754757068568,341.3793706400909,316.7650699296857,161.76921287950245,171.40674250217853,243151.83224939735,232171.5923795728,156364.94656830683,142967.67272306222
5,HRT,12.0,1.0,1.5,0.0,1.0000001,0.0787233960329403,0.2155122732338758,0.7057641600950476,0.7552016061505944,0.1714550392362937,0.056431125812279,0.016912246428416,2619860.83000001,5892329.140000001,707639.9999999956,3085819.4099999974,12305649.380000005,9101181.2391,7827353.08583,1273828.65776,153216.8983074,39031.11115,26842832.67392,4330629.243944,13611374.324112996,71466482.02870253,68411160.56953713,60723262.436477415,7687898.024382993,1987207.326786688,1068114.1323786993,17334894.41642,2888698.4812,4551198.11614,2848182.09323,30021979.92815,27527723.22530293,169582.6573132272,329.2129975727689,9996.460547985029,3923.116458244208,-0.1870837236741351,-0.2744132985403595,48.195436511074455,46.64804518074593,37.30335297501688,35.70985654679791,-7.591851362213674,-11.46047075703791,6871.508990468312,7169.010430600572,6855.131290338517,6697.070886936343,1176313.452435906,1212757.651392947,1060692.1655331117,1016327.9517069,-1509.4697181067895,-4256.19587596471,0.019584223952993,0.0405604602370601,19.51112339901713,19.641994256856613,20.412435154141075,20.542828911062337,364985.913211489,31206.08761315216,36284.66730957481,200437.5744616972,419462.6085677986,122380.72518547848,3996.590394669,6028.08414016574,63077.78538844487,17626.56598968072,1265486.6022621505,0.4758776256471719,1.0037314735699994,58.30601759428438,57.95701636460101,59.40236420884813,59.82481590263468,-0.2784029817917552,-0.2428898791030884,4.865963405833948,4.380543002859088,2.673613292480168,2.4431932747384177,-33.78313685172145,-37.80132181887728,417.0334018690404,393.9080458316204,279.32545805644526,261.02818180943365,-16575.942357393753,-23621.16635522469,195101.29920088244,181901.6845609652,125052.12509006516,116490.33800218148
6,WFH,12.0,1.0,1.0,1.0,1.0000001,0.0794549400203138,0.215246395405507,0.7052984936869157,0.7576999423555575,0.1687132829522069,0.0552363033737927,0.018350504625975,1964836.3949999989,5891832.960000001,530714.4000000033,3085606.419999997,11472990.175,8412916.5351,7180532.78215,1232383.64735,153216.8983074,39031.11115,25515701.96247,4120919.943427,12518367.661875954,66518040.20002522,63451309.40003062,55844318.57553754,7606990.767753263,1995013.863595068,1071716.936399537,15399156.0887,2595801.8629,3483090.156562,2004952.35103,25341044.584612,25445651.97433945,157059.2808504694,303.8322585122587,9430.570792938435,3603.269064595632,1.6407596725303009,2.2678678178906324,57.86638242537879,56.524503274030685,45.146455493116775,43.04403352365167,46.87468361331412,85.29747689672604,7575.532155934112,7892.982350692728,7504.687920828789,7324.284859374735,1078013.5404631055,1120341.8598531198,998093.2056733484,958530.2929584916,-37210.42183114402,-38874.32866738341,0.0791149913513429,0.0571917866515399,17.62794378420548,17.72195291583387,18.469724771931077,18.606156243625115,335997.8993065455,27187.51273614373,31227.64961498121,167914.1300240441,443982.87012899,92187.7464902305,2885.060671732,5863.03722841542,59507.55895992056,17500.90692400047,1184254.3720850034,0.0718622544436655,0.1857748642606722,54.40732690216792,53.84437110410884,55.90768888793517,56.53012725145184,0.0506080106817097,0.0452884695232151,5.682908318784348,5.122951911470686,3.161547212957103,2.897423834723712,2.923985164139026,3.495173621957008,519.9568522873244,494.535353454325,345.5417864588688,320.3589939913039,-18711.63380781743,-18799.12618727004,189744.3349118371,181434.00931908196,121830.8522514435,111200.6225923436
7,AV,12.0,1.0,1.0,0.0,0.75,0.0794549400203138,0.215246395405507,0.7052984936869157,0.7564780781447018,0.1658398460819885,0.0605534649934057,0.0171286267521027,2619781.8600000096,5891832.960000001,707619.1999999955,3085606.419999997,12304840.440000003,9140843.1886,7852900.70276,1287942.12265,153216.8983074,39031.11115,30662588.12084,4977199.025842,13964911.645883111,76145330.07236394,73065723.30017203,64842722.85084011,8223000.325669361,2005617.8392946331,1073988.9328972811,15992440.82886,2820745.9478,2766291.865375,1389512.54159,24659316.331085,30117087.91852255,183745.8142392526,359.9061201902209,10673.5681945764,4362.276238716219,2.881872350009118,4.036132166929228,64.98058727269715,63.80592829211928,51.01954766295632,48.55719419270167,157.3676647155562,265.8188672188144,8898.80329100004,9246.344587984004,8717.466074792475,8497.125706343923,1515980.4215787456,1579823.3053215002,1416178.9959246493,1361071.226631739,-17329.330966804875,18066.183127749595,-0.0309535533594669,-0.1196659808479552,17.511575965399167,17.57756471022855,18.463425497835573,18.63862580551929,382943.91499791545,34405.06244703908,34959.00018763799,191364.582983638,527014.302662876,119023.71050030206,3800.498643557,6208.9415942818005,63486.4416691618,25512.62687103111,1388719.08255744,-0.0058727579838731,-0.0698651673536971,54.40860947439945,53.7398076913237,55.98670647259424,56.68120387028107,0.1008375337537175,0.0921472549807953,5.7847840650244535,5.2153330215717375,3.2131934361252013,2.942946159367183,8.301349063150042,9.463282693023984,532.8645223953149,507.05295994084827,353.07209266784827,326.9084914067602,4854.643535339448,6158.012376827886,255589.48967901664,244781.07680238964,164109.72967546617,149590.55151155335
8,AV,12.0,1.0,1.0,0.0,1.2,0.0794549400203138,0.215246395405507,0.7052984936869157,0.7471154224716073,0.1741985976931281,0.0619712899851773,0.0167146450189871,2619781.8600000096,5891832.960000001,707619.1999999955,3085606.419999997,12304840.440000003,8987864.1267,7736187.25355,1251676.98728,153216.8983074,39031.11115,24408584.22269,3925312.059293,13096444.081361208,67836888.6325132,64790357.04430107,57521927.37772176,7268429.540429993,1981444.1074660325,1065087.4807460883,17840062.95819,2784354.232,5662202.92591,3935972.437581,33172963.567071,25942449.34962504,160543.953021655,310.1581994549979,9560.474251641728,3674.881901617909,-1.5950127244175825,-1.9031419681132,39.82023792521185,38.3314464410858,30.33608338989772,29.02198647671062,-124.5870015108194,-221.80264317891212,5479.1974993679205,5732.200202196815,5579.814949386731,5470.60283095446,979329.6332561938,996862.5144153808,859978.9854968284,824612.4553704708,2219.8911384642124,-28435.83651710162,0.0371883168337952,0.1244704485190126,20.969997269431584,21.14196402393084,21.853704931674727,21.95888868985461,375614.4938171822,29841.16413411138,36239.4991004619,200853.6989170734,549505.818968143,132490.33315341116,3929.373923265,6422.702237947,63252.17539335676,14720.25402116137,1412869.5136661134,-0.0217466918563289,0.0659802565718692,56.72469978671584,56.158066708231885,58.31867071878309,58.96361746326369,-0.0725982442792552,-0.0696986523515179,5.412895122364556,4.876195634840093,3.014740271498276,2.7656546799678523,-7.313838741131406,-8.875468923567269,493.0998066880265,467.75734827097097,328.9225647648413,305.95163135347417,-3091.6379356058314,-4152.268992488418,233907.85372864865,222694.37161023504,150374.37519604346,137814.12768871506
