,Electric Bike,TNC Availability,HRT Reliability,Post-Pandemic WFH,AV Operations
BRMPO_DA_VMT,0.026125498402236803,0.0723578438160705,0.06360993504362267,0.26998472266652535,0.5679220000715448
BRMPO_SR_VMT,0.03527522275518755,0.30076136389199604,0.04588098168417291,0.02930330286153092,0.5887791288071127
BRMPO_MTRK_VMT,0.023220456160022232,0.05974815017079085,0.03065082269640722,0.24802062288203086,0.6383599480907488
BRMPO_HTRK_VMT,0.03482013468644148,0.0902397391317968,0.04094404402710023,0.24185745526007726,0.5921386268945842
BRMPO_Freeway_CVMT,0.04326533906051723,0.08500574692732775,0.03847126347842512,0.3742349737541069,0.45902267677962305
BRMPO_Expressway_CVMT,0.03347428859446299,0.11845086610014183,0.04721507325679095,0.47420303399025215,0.3266567380583521
BRMPO_Mj_Arterial_CVMT,0.025362798924330476,0.07190209287120437,0.019273739203408323,0.21737671369261996,0.666084655308437
BRMPO_Mn_Arterial_CVMT,0.033509295223313446,0.05253447010029442,0.04110635108459282,0.15912034802980243,0.713729535561997
BRMPO_Total_CVMT,0.024423167836763775,0.05607443606619602,0.03287548648041078,0.28892391592441585,0.5977029936922136
BRMPO_CO2,0.035421152119854415,0.07662193483832411,0.04179196183938672,0.2495592515871588,0.596605699615276
BRMPO_CO,0.03411668214531835,0.07242557906008644,0.03776746893253263,0.2850006166725436,0.5706896531895189
BRMPO_SO,0.03038263438106609,0.053812552200225586,0.032552111095876926,0.330941604699333,0.5523110976234985
BRMPO_NO,0.02541104525501412,0.054794129670676525,0.04869247213490637,0.2996527343084837,0.5714496186309193
BRMPO_VOC,0.04159327673652381,0.07928365367914575,0.04972450455143231,0.2582652931867957,0.5711332718461025
inc_hlth_hwy,0.029809876826236995,0.06869159494280687,0.04504946822748189,0.278042772282431,0.5784062877210433
eth_hlth_hwy,0.02777396934754688,0.0576729968779326,0.05151565578496487,0.241012290388003,0.6220250876015526
linc_hlth_hwy,0.027738208373393903,0.07435312169816544,0.04714337320328684,0.27515066941914834,0.5756146273060055
mnr_hlth_hwy,0.03543109317277213,0.07819031700732669,0.062346064314163376,0.16493791686634243,0.6590946086393954
